Item_ID,Item_Name,Category,Size,Quantity_Available,Profit_Per_Unit,Branches_Stocked_In
H&-0114,Trendy Outerwea,Outerwear,L,316,6.5,2
H&-0115,Essential Accessorie,Accessories,S,204,12.38,8
H&-0116,Trendy Accessorie,Accessories,M,406,37.34,7
H&-0117,Classic Accessorie,Accessories,XL,347,32.91,11
H&-0118,Basic Outerwea,Outerwear,XS,379,38,15
H&-0119,Classic Outerwea,Outerwear,M,495,19.97,14
H&-0120,Trendy Dresse,Dresses,S,365,8.07,5
H&-0121,Trendy Accessorie,Accessories,M,277,7.15,4
H&-0122,Essential Bottom,Bottoms,L,97,38.85,9
H&-0123,Trendy Top,Tops,L,231,37.02,6
H&-0124,Basic Outerwea,Outerwear,M,436,9.35,11
H&-0125,Basic Dresse,Dresses,M,1,25,1
H&-0126,Trendy Outerwea,Outerwear,S,1,9.54,1
H&-0127,Basic Dresse,Dresses,S,94,25.42,12
H&-0128,Essential Dresse,Dresses,XS,465,10.84,3
H&-0129,Trendy Outerwea,Outerwear,L,446,49.58,2
H&-0130,Basic Bottom,Bottoms,XL,451,9.54,5
H&-0131,Classic Outerwea,Outerwear,M,277,24.84,2
H&-0132,Classic Shoe,Shoes,XS,392,40.39,15
H&-0133,Trendy Dresse,Dresses,XL,179,49.71,14
H&-0134,Classic Accessorie,Accessories,S,446,17.61,3
H&-0135,Essential Accessorie,Accessories,XS,55,31.33,6
H&-0136,Essential Dresse,Dresses,S,394,22.67,15
H&-0137,Classic Top,Tops,S,484,36.1,3
H&-0138,Trendy Dresse,Dresses,XL,114,5.09,12
H&-0139,Basic Accessorie,Accessories,XS,211,45.96,15
H&-0140,Basic Accessorie,Accessories,S,498,7.62,4
H&-0141,Classic Bottom,Bottoms,L,188,19.22,9
H&-0142,Trendy Bottom,Bottoms,XL,149,11.35,5
H&-0143,Essential Top,Tops,L,221,19.39,4
H&-0144,Trendy Shoe,Shoes,L,56,48.66,1
H&-0145,Classic Outerwea,Outerwear,L,8,35.82,6
H&-0146,Essential Dresse,Dresses,M,304,42.64,10
H&-0147,Trendy Top,Tops,M,3,8.43,6
H&-0148,Essential Bottom,Bottoms,XL,223,15.14,7
H&-0149,Essential Dresse,Dresses,XL,158,17.88,9
H&-0150,Basic Accessorie,Accessories,XL,272,36.04,4
H&-0151,Essential Bottom,Bottoms,M,272,23.5,15
H&-0152,Essential Accessorie,Accessories,L,414,43.23,5
H&-0153,Basic Accessorie,Accessories,M,179,15.52,9
H&-0154,Essential Shoe,Shoes,S,266,19.83,8
H&-0155,Essential Dresse,Dresses,S,46,10.84,4
H&-0156,Basic Shoe,Shoes,M,491,24.88,11
H&-0157,Trendy Top,Tops,S,167,42.64,13
H&-0158,Trendy Dresse,Dresses,M,441,14.86,5
H&-0159,Essential Dresse,Dresses,M,193,36.86,6
H&-0160,Classic Bottom,Bottoms,L,74,11.57,10
H&-0161,Basic Bottom,Bottoms,XS,433,41.19,9
H&-0162,Essential Bottom,Bottoms,XS,248,14.45,6
H&-0163,Essential Shoe,Shoes,XS,451,11.81,6
H&-0164,Trendy Outerwea,Outerwear,XL,72,14.06,1
H&-0165,Basic Outerwea,Outerwear,L,296,34.92,13
H&-0166,Classic Shoe,Shoes,XL,98,23.7,13
H&-0167,Basic Bottom,Bottoms,M,308,15.07,4
H&-0168,Classic Dresse,Dresses,XL,211,6.93,13
H&-0169,Essential Outerwea,Outerwear,L,258,37.29,6
H&-0170,Basic Accessorie,Accessories,S,209,30.17,14
H&-0171,Trendy Bottom,Bottoms,M,109,18.85,15
H&-0172,Classic Outerwea,Outerwear,XS,129,42.89,1
H&-0173,Classic Dresse,Dresses,S,351,11.52,3
H&-0174,Basic Outerwea,Outerwear,S,180,43.55,6
H&-0175,Basic Shoe,Shoes,XL,265,46.81,12
H&-0176,Trendy Top,Tops,L,90,47.34,12
H&-0177,Trendy Accessorie,Accessories,XS,298,22.04,8
H&-0178,Trendy Shoe,Shoes,L,452,11.92,4
H&-0179,Classic Top,Tops,S,152,45.89,11
H&-0180,Trendy Accessorie,Accessories,L,297,37.32,12
H&-0181,Basic Dresse,Dresses,L,124,26.78,3
H&-0182,Classic Bottom,Bottoms,XL,18,14.88,8
H&-0183,Basic Shoe,Shoes,M,226,33.81,6
H&-0184,Classic Shoe,Shoes,M,266,24.79,3
H&-0185,Trendy Accessorie,Accessories,M,33,40.85,10
H&-0186,Basic Bottom,Bottoms,S,300,12.83,11
H&-0187,Basic Outerwea,Outerwear,M,179,13.87,12
H&-0188,Classic Shoe,Shoes,M,496,19.48,8
H&-0189,Classic Accessorie,Accessories,S,350,24.54,6
H&-0190,Classic Bottom,Bottoms,XS,209,17.5,4
H&-0191,Classic Bottom,Bottoms,XL,306,20.69,3
H&-0192,Classic Dresse,Dresses,XL,132,42.36,15
H&-0193,Basic Top,Tops,S,85,32.5,4
H&-0194,Classic Bottom,Bottoms,L,122,12.71,15
H&-0195,Trendy Bottom,Bottoms,XL,124,43.91,2
H&-0196,Essential Accessorie,Accessories,S,101,22.85,7
H&-0197,Basic Shoe,Shoes,S,183,40.74,10
H&-0198,Basic Dresse,Dresses,XS,51,31.55,8
H&-0199,Basic Outerwea,Outerwear,XS,33,47.02,9
H&-0200,Essential Outerwea,Outerwear,XS,88,13.2,2
H&-0201,Classic Dresse,Dresses,XS,213,32.97,1
H&-0202,Classic Top,Tops,XS,152,10.73,2
H&-0203,Trendy Shoe,Shoes,XS,73,41.25,2
H&-0204,Trendy Shoe,Shoes,L,43,16.67,8
H&-0205,Basic Bottom,Bottoms,XL,425,20.93,15
H&-0206,Classic Dresse,Dresses,XS,195,33.1,12
H&-0207,Trendy Accessorie,Accessories,XL,402,41.34,6
H&-0208,Basic Top,Tops,L,407,22.49,6
H&-0209,Basic Top,Tops,XL,236,16.83,5
H&-0210,Classic Outerwea,Outerwear,XL,186,42.19,4
H&-0211,Trendy Bottom,Bottoms,M,238,49.62,8
H&-0212,Essential Bottom,Bottoms,L,80,27.36,6
H&-0213,Essential Bottom,Bottoms,L,450,30.58,12
H&-0214,Basic Top,Tops,XL,377,31.85,2
H&-0215,Classic Top,Tops,L,441,34.47,7
H&-0216,Essential Outerwea,Outerwear,XS,415,28.32,5
H&-0217,Trendy Dresse,Dresses,M,116,19.45,13
H&-0218,Classic Dresse,Dresses,M,366,47.74,2
H&-0219,Trendy Outerwea,Outerwear,S,81,39.57,13
H&-0220,Classic Bottom,Bottoms,S,401,38.76,10
H&-0221,Essential Top,Tops,S,127,48.45,6
H&-0222,Classic Shoe,Shoes,XL,114,14.66,15
H&-0223,Trendy Top,Tops,XL,240,33.53,6
H&-0224,Trendy Dresse,Dresses,M,343,33.1,12
H&-0225,Trendy Top,Tops,XL,238,34.38,4
H&-0226,Basic Accessorie,Accessories,M,385,21.97,15
H&-0227,Trendy Bottom,Bottoms,M,187,11.93,12
H&-0228,Essential Shoe,Shoes,S,314,19.11,8
H&-0229,Classic Top,Tops,M,417,34.6,4
H&-0230,Trendy Outerwea,Outerwear,XS,490,19.56,6
H&-0231,Basic Dresse,Dresses,XL,226,48.52,7
H&-0232,Basic Shoe,Shoes,XS,192,25.2,9
H&-0233,Basic Outerwea,Outerwear,XL,259,31.66,5
H&-0234,Essential Dresse,Dresses,M,5,33.18,2
H&-0235,Basic Shoe,Shoes,S,329,44.66,12
H&-0236,Classic Shoe,Shoes,XS,275,46.02,4
H&-0237,Trendy Shoe,Shoes,XS,180,15.23,11
H&-0238,Classic Outerwea,Outerwear,XS,49,44.86,8
H&-0239,Basic Dresse,Dresses,M,250,47.85,6
H&-0240,Essential Accessorie,Accessories,XL,125,38.24,6
H&-0241,Essential Shoe,Shoes,M,133,39.83,3
H&-0242,Basic Shoe,Shoes,L,113,36.33,14
H&-0243,Basic Accessorie,Accessories,L,228,36.01,10
H&-0244,Classic Shoe,Shoes,S,311,28.44,15
H&-0245,Essential Shoe,Shoes,L,8,14.39,4
H&-0246,Essential Top,Tops,L,318,22.64,10
H&-0247,Basic Outerwea,Outerwear,XL,139,41.52,14
H&-0248,Basic Shoe,Shoes,XL,106,7.16,12
H&-0249,Basic Bottom,Bottoms,S,277,42.92,12
H&-0250,Essential Bottom,Bottoms,L,180,36.17,1
H&-0251,Classic Bottom,Bottoms,L,182,33.04,1
H&-0252,Basic Shoe,Shoes,XS,423,38.98,9
H&-0253,Basic Dresse,Dresses,S,432,42.05,10
H&-0254,Trendy Accessorie,Accessories,S,388,33.35,9
H&-0255,Classic Dresse,Dresses,L,211,10.99,1
H&-0256,Trendy Dresse,Dresses,M,399,27.82,10
H&-0257,Essential Shoe,Shoes,L,325,19.76,5
H&-0258,Essential Dresse,Dresses,L,269,21.61,14
H&-0259,Essential Bottom,Bottoms,XS,108,38.55,11
H&-0260,Basic Bottom,Bottoms,S,318,26.14,12
H&-0261,Basic Shoe,Shoes,XL,1,15.98,9
H&-0262,Trendy Dresse,Dresses,M,357,41.89,8
H&-0263,Basic Accessorie,Accessories,XS,161,13.54,9
H&-0264,Classic Bottom,Bottoms,L,342,40.59,8
H&-0265,Trendy Shoe,Shoes,M,36,40.22,10
H&-0266,Essential Outerwea,Outerwear,M,13,35.56,2
H&-0267,Classic Outerwea,Outerwear,S,480,41.76,12
H&-0268,Classic Outerwea,Outerwear,S,273,49.21,11
H&-0269,Classic Top,Tops,S,49,16.66,6
H&-0270,Essential Bottom,Bottoms,XS,9,36,7
H&-0271,Classic Accessorie,Accessories,M,361,26.48,7
H&-0272,Basic Shoe,Shoes,L,490,22.31,6
H&-0273,Essential Shoe,Shoes,S,347,42.75,13
H&-0274,Classic Top,Tops,S,179,41.89,15
H&-0275,Trendy Accessorie,Accessories,XL,345,35.1,2
H&-0276,Basic Dresse,Dresses,L,37,43.03,3
H&-0277,Classic Bottom,Bottoms,S,294,41.83,3
H&-0278,Trendy Bottom,Bottoms,L,358,47.99,6
H&-0279,Trendy Top,Tops,XL,92,47.82,10
H&-0280,Essential Top,Tops,L,106,49.28,7
H&-0281,Essential Bottom,Bottoms,XL,200,26.58,2
H&-0282,Essential Top,Tops,L,394,29.57,10
H&-0283,Essential Outerwea,Outerwear,XL,90,21.84,7
H&-0284,Trendy Accessorie,Accessories,XL,143,5.44,8
H&-0285,Essential Outerwea,Outerwear,L,139,34.63,2
H&-0286,Essential Top,Tops,S,165,21.4,2
H&-0287,Basic Shoe,Shoes,XL,94,36.83,13
H&-0288,Basic Accessorie,Accessories,XL,104,48.83,6
H&-0289,Classic Dresse,Dresses,XS,240,44.81,13
H&-0290,Classic Top,Tops,S,166,38.05,14
H&-0291,Trendy Outerwea,Outerwear,XS,492,13.85,13
H&-0292,Basic Accessorie,Accessories,M,264,36.51,12
H&-0293,Trendy Bottom,Bottoms,S,180,10.82,1
H&-0294,Basic Outerwea,Outerwear,XS,472,48.81,2
H&-0295,Essential Top,Tops,L,252,6.81,13
H&-0296,Basic Shoe,Shoes,L,253,15.4,5
H&-0297,Essential Outerwea,Outerwear,L,289,44.5,3
H&-0298,Trendy Outerwea,Outerwear,M,409,8.33,2
H&-0299,Basic Bottom,Bottoms,L,7,7.95,12
H&-0300,Trendy Outerwea,Outerwear,S,117,48.28,9
H&-0301,Trendy Shoe,Shoes,M,171,33.15,7
H&-0302,Classic Top,Tops,M,48,33.97,10
H&-0303,Basic Outerwea,Outerwear,L,117,38.14,2
H&-0304,Trendy Accessorie,Accessories,XL,408,18.44,8
H&-0305,Basic Top,Tops,L,445,28.82,4
H&-0306,Essential Dresse,Dresses,M,197,31.73,4
H&-0307,Trendy Top,Tops,XS,82,32.64,6
H&-0308,Essential Outerwea,Outerwear,S,475,48.03,13
H&-0309,Essential Top,Tops,S,309,11.38,3
H&-0310,Essential Dresse,Dresses,XL,416,40.68,9
H&-0311,Basic Bottom,Bottoms,M,248,44.25,12
H&-0312,Basic Top,Tops,M,143,48.03,7
H&-0313,Basic Bottom,Bottoms,XL,74,27.35,12
H&-0314,Classic Outerwea,Outerwear,S,295,40.24,8
H&-0315,Trendy Shoe,Shoes,S,387,44.01,12
H&-0316,Classic Accessorie,Accessories,S,301,11,12
H&-0317,Basic Dresse,Dresses,XL,213,33.76,10
H&-0318,Basic Dresse,Dresses,M,184,16.73,2
H&-0319,Classic Outerwea,Outerwear,L,274,31.14,14
H&-0320,Basic Dresse,Dresses,XL,481,23.68,6
H&-0321,Classic Accessorie,Accessories,S,500,41.75,5
H&-0322,Trendy Dresse,Dresses,XL,202,33.36,4
H&-0323,Classic Dresse,Dresses,XL,76,10.71,14
H&-0324,Basic Accessorie,Accessories,M,210,39.41,3
H&-0325,Classic Top,Tops,L,155,18.6,11
H&-0326,Trendy Shoe,Shoes,S,102,32.65,3
H&-0327,Basic Dresse,Dresses,M,53,48.97,5
H&-0328,Basic Accessorie,Accessories,M,446,10.45,1
H&-0329,Essential Shoe,Shoes,XL,430,14.51,3
H&-0330,Essential Shoe,Shoes,L,275,43.88,1
H&-0331,Essential Shoe,Shoes,L,87,18.05,10
H&-0332,Essential Dresse,Dresses,XL,403,40.33,9
H&-0333,Classic Bottom,Bottoms,S,342,10.57,5
H&-0334,Trendy Dresse,Dresses,XL,425,20.87,2
H&-0335,Trendy Shoe,Shoes,L,71,20.19,8
H&-0336,Essential Top,Tops,S,184,36.06,13
H&-0337,Classic Bottom,Bottoms,L,176,11.25,5
H&-0338,Trendy Shoe,Shoes,M,151,35.56,1
H&-0339,Essential Bottom,Bottoms,XS,69,37.81,14
H&-0340,Basic Bottom,Bottoms,S,95,13.88,3
H&-0341,Classic Accessorie,Accessories,L,76,29.94,1
H&-0342,Essential Shoe,Shoes,M,265,33.63,7
H&-0343,Classic Dresse,Dresses,XL,51,21.61,14
H&-0344,Trendy Outerwea,Outerwear,XS,357,39.77,15
H&-0345,Trendy Outerwea,Outerwear,L,402,9.61,11
H&-0346,Basic Dresse,Dresses,XL,375,45.71,12
H&-0347,Essential Shoe,Shoes,M,176,25.61,7
H&-0348,Basic Top,Tops,XS,251,16.64,2
H&-0349,Trendy Bottom,Bottoms,M,320,40.53,3
H&-0350,Basic Bottom,Bottoms,XS,26,36.55,7
H&-0351,Essential Dresse,Dresses,L,205,8.44,3
H&-0352,Classic Shoe,Shoes,XS,455,41.49,15
H&-0353,Basic Shoe,Shoes,S,487,25.79,13
H&-0354,Essential Top,Tops,S,3,28.08,10
H&-0355,Basic Outerwea,Outerwear,M,274,46.32,4
H&-0356,Classic Accessorie,Accessories,XL,447,25.3,8
H&-0357,Trendy Top,Tops,XL,108,30.96,2
H&-0358,Trendy Dresse,Dresses,S,361,5.21,8
H&-0359,Basic Dresse,Dresses,XL,136,16.03,10
H&-0360,Essential Shoe,Shoes,L,429,29.51,5
H&-0361,Classic Accessorie,Accessories,M,301,41.67,12
H&-0362,Classic Dresse,Dresses,XL,139,44.83,6
H&-0363,Classic Accessorie,Accessories,XL,368,36.49,12
H&-0364,Essential Dresse,Dresses,S,123,10.88,4
H&-0365,Essential Bottom,Bottoms,XS,481,49.91,3
H&-0366,Basic Top,Tops,M,81,27.96,11
H&-0367,Basic Shoe,Shoes,XS,236,43.78,7
H&-0368,Trendy Top,Tops,S,325,32.76,14
H&-0369,Classic Dresse,Dresses,L,136,27.43,13
H&-0370,Essential Outerwea,Outerwear,XL,18,35.65,7
H&-0371,Essential Top,Tops,L,280,46.28,11
H&-0372,Essential Accessorie,Accessories,M,232,7.9,12
H&-0373,Essential Outerwea,Outerwear,M,323,38.48,2
H&-0374,Essential Shoe,Shoes,XL,423,44.9,8
H&-0375,Basic Accessorie,Accessories,M,68,27.28,13
H&-0376,Trendy Dresse,Dresses,XL,354,8.32,5
H&-0377,Essential Outerwea,Outerwear,S,413,7.57,8
H&-0378,Classic Shoe,Shoes,M,494,19.42,6
H&-0379,Classic Bottom,Bottoms,XS,364,37.39,2
H&-0380,Classic Outerwea,Outerwear,S,483,43.88,12
H&-0381,Basic Dresse,Dresses,XS,114,44.6,13
H&-0382,Classic Top,Tops,XS,66,16.07,5
H&-0383,Essential Dresse,Dresses,S,258,48.11,1
H&-0384,Trendy Top,Tops,M,120,14.95,13
H&-0385,Classic Shoe,Shoes,L,461,9.49,12
H&-0386,Essential Bottom,Bottoms,XL,206,48.63,2
H&-0387,Classic Accessorie,Accessories,M,314,42.93,10
H&-0388,Trendy Bottom,Bottoms,M,367,35.43,8
H&-0389,Trendy Bottom,Bottoms,XL,110,40.27,7
H&-0390,Trendy Dresse,Dresses,M,469,48.41,1
H&-0391,Essential Outerwea,Outerwear,XL,227,20.65,7
H&-0392,Trendy Dresse,Dresses,M,83,37.74,11
H&-0393,Trendy Shoe,Shoes,L,81,40.15,15
H&-0394,Trendy Top,Tops,XS,70,16.22,9
H&-0395,Classic Accessorie,Accessories,S,82,25.21,12
H&-0396,Trendy Dresse,Dresses,S,387,48.78,5
H&-0397,Classic Accessorie,Accessories,XS,192,29.77,7
H&-0398,Trendy Outerwea,Outerwear,S,337,32.79,13
H&-0399,Trendy Top,Tops,XS,34,17.17,6
H&-0400,Trendy Bottom,Bottoms,L,462,43.23,4
H&-0401,Essential Bottom,Bottoms,XL,237,44.32,3
H&-0402,Basic Bottom,Bottoms,S,81,12.08,4
H&-0403,Classic Top,Tops,XL,142,23.6,4
H&-0404,Classic Accessorie,Accessories,L,190,28.74,12
H&-0405,Basic Top,Tops,L,191,26.83,2
H&-0406,Trendy Accessorie,Accessories,L,71,24.45,6
H&-0407,Essential Dresse,Dresses,XL,98,20.33,2
H&-0408,Basic Top,Tops,XS,32,24.99,11
H&-0409,Trendy Outerwea,Outerwear,S,147,32.36,8
H&-0410,Basic Dresse,Dresses,XS,449,43.8,7
H&-0411,Trendy Accessorie,Accessories,XL,444,22.72,7
H&-0412,Trendy Top,Tops,L,396,35.17,12
H&-0413,Essential Dresse,Dresses,M,472,15.85,2
H&-0414,Trendy Dresse,Dresses,L,107,20.9,14
H&-0415,Essential Shoe,Shoes,XS,13,23.33,1
H&-0416,Trendy Shoe,Shoes,XS,247,13.01,12
H&-0417,Trendy Accessorie,Accessories,S,158,32.49,5
H&-0418,Classic Bottom,Bottoms,M,351,43.27,11
H&-0419,Trendy Top,Tops,L,298,38.18,14
H&-0420,Essential Top,Tops,L,72,15.7,11
H&-0421,Classic Bottom,Bottoms,XS,204,41.96,8
H&-0422,Basic Outerwea,Outerwear,S,210,21.13,10
H&-0423,Classic Shoe,Shoes,XL,259,11.03,11
H&-0424,Basic Outerwea,Outerwear,L,436,44.78,13
H&-0425,Essential Shoe,Shoes,XL,15,9.73,15
H&-0426,Trendy Outerwea,Outerwear,XS,141,15.43,2
H&-0427,Basic Shoe,Shoes,S,318,8.93,9
H&-0428,Basic Accessorie,Accessories,S,192,6.97,9
H&-0429,Classic Top,Tops,S,367,13.43,15
H&-0430,Classic Bottom,Bottoms,XL,172,27.63,10
H&-0431,Essential Dresse,Dresses,S,28,20.28,12
H&-0432,Classic Dresse,Dresses,XS,367,41.06,10
H&-0433,Trendy Top,Tops,S,474,17.21,2
H&-0434,Classic Outerwea,Outerwear,M,88,46.71,8
H&-0435,Essential Top,Tops,S,486,21.37,14
H&-0436,Trendy Bottom,Bottoms,M,75,12.67,5
H&-0437,Basic Bottom,Bottoms,XS,378,26.28,6
H&-0438,Basic Top,Tops,L,35,22.22,6
H&-0439,Trendy Outerwea,Outerwear,XL,266,28.38,1
H&-0440,Trendy Shoe,Shoes,M,270,28.44,13
H&-0441,Essential Dresse,Dresses,M,106,10.08,9
H&-0442,Essential Shoe,Shoes,L,452,6.84,9
H&-0443,Essential Accessorie,Accessories,S,120,32.81,15
H&-0444,Essential Bottom,Bottoms,M,467,5.03,6
H&-0445,Essential Outerwea,Outerwear,XL,217,36.04,14
H&-0446,Trendy Bottom,Bottoms,M,129,36.02,7
H&-0447,Trendy Bottom,Bottoms,XS,268,46.82,11
H&-0448,Essential Outerwea,Outerwear,XS,342,34.87,2
H&-0449,Essential Shoe,Shoes,M,84,14.23,14
H&-0450,Classic Outerwea,Outerwear,L,382,16.86,10
H&-0451,Basic Shoe,Shoes,M,285,37.65,8
H&-0452,Essential Accessorie,Accessories,L,187,48.78,11
H&-0453,Basic Shoe,Shoes,L,441,18.04,9
H&-0454,Classic Dresse,Dresses,M,490,27.63,6
H&-0455,Essential Outerwea,Outerwear,L,387,43.39,10
H&-0456,Basic Accessorie,Accessories,XS,391,12.09,2
H&-0457,Essential Shoe,Shoes,XS,96,22.94,12
H&-0458,Basic Bottom,Bottoms,L,173,41.24,11
H&-0459,Classic Bottom,Bottoms,S,101,49.65,10
H&-0460,Essential Accessorie,Accessories,XL,31,37.33,6
H&-0461,Trendy Accessorie,Accessories,S,239,41.28,5
H&-0462,Trendy Bottom,Bottoms,XS,200,6.89,14
H&-0463,Basic Bottom,Bottoms,XL,402,38.99,8
H&-0464,Basic Accessorie,Accessories,M,57,38.83,12
H&-0465,Classic Bottom,Bottoms,S,375,13.03,11
